DATE,TIME,Temp,Rain
2023/1/1 0:00,1:00:00,3.5,0
2023/1/1 0:00,2:00:00,3.2,0
2023/1/1 0:00,3:00:00,3.4,0
2023/1/1 0:00,4:00:00,3.2,0
2023/1/1 0:00,5:00:00,1.8,0
2023/1/1 0:00,6:00:00,1.6,0
2023/1/1 0:00,7:00:00,1.3,0
2023/1/1 0:00,8:00:00,2.9,0
2023/1/1 0:00,9:00:00,6.4,0
2023/1/1 0:00,10:00:00,8.5,0
2023/1/1 0:00,11:00:00,10.9,0
2023/1/1 0:00,12:00:00,11,0
2023/1/1 0:00,13:00:00,11.9,0
2023/1/1 0:00,14:00:00,12.6,0
2023/1/1 0:00,15:00:00,11,0
2023/1/1 0:00,16:00:00,10.3,0
2023/1/1 0:00,17:00:00,8.3,0
2023/1/1 0:00,18:00:00,7.7,0
2023/1/1 0:00,19:00:00,7.5,0
2023/1/1 0:00,20:00:00,6.6,0
2023/1/1 0:00,21:00:00,6.8,0
2023/1/1 0:00,22:00:00,6.4,0
2023/1/1 0:00,23:00:00,6.2,0
2023/1/2 0:00,0:00:00,5.8,0
2023/1/2 0:00,1:00:00,5.5,0
2023/1/2 0:00,2:00:00,4.7,0
2023/1/2 0:00,3:00:00,3.8,0
2023/1/2 0:00,4:00:00,3.7,0
2023/1/2 0:00,5:00:00,2.6,0
2023/1/2 0:00,6:00:00,2.6,0
2023/1/2 0:00,7:00:00,3.2,0
2023/1/2 0:00,8:00:00,4.4,0
2023/1/2 0:00,9:00:00,6.3,0
2023/1/2 0:00,10:00:00,7.9,0
2023/1/2 0:00,11:00:00,9.5,0
2023/1/2 0:00,12:00:00,10.6,0
2023/1/2 0:00,13:00:00,11.4,0
2023/1/2 0:00,14:00:00,10,0
2023/1/2 0:00,15:00:00,9.8,0
2023/1/2 0:00,16:00:00,9.1,0
2023/1/2 0:00,17:00:00,8.1,0
2023/1/2 0:00,18:00:00,7,0
2023/1/2 0:00,19:00:00,6.5,0
2023/1/2 0:00,20:00:00,5.2,0
2023/1/2 0:00,21:00:00,4.8,0
2023/1/2 0:00,22:00:00,4.4,0
2023/1/2 0:00,23:00:00,4.5,0
2023/1/3 0:00,0:00:00,4.3,0
2023/1/3 0:00,1:00:00,3.9,0
2023/1/3 0:00,2:00:00,4.3,0
2023/1/3 0:00,3:00:00,3.2,0
2023/1/3 0:00,4:00:00,2.8,0
2023/1/3 0:00,5:00:00,1.9,0
2023/1/3 0:00,6:00:00,1.2,0
2023/1/3 0:00,7:00:00,0.9,0
2023/1/3 0:00,8:00:00,2.7,0
2023/1/3 0:00,9:00:00,6.1,0
2023/1/3 0:00,10:00:00,8.8,0
2023/1/3 0:00,11:00:00,9.1,0
2023/1/3 0:00,12:00:00,10.6,0
2023/1/3 0:00,13:00:00,10.3,0
2023/1/3 0:00,14:00:00,10.3,0
2023/1/3 0:00,15:00:00,9.4,0
2023/1/3 0:00,16:00:00,8.7,0
2023/1/3 0:00,17:00:00,5.7,0
2023/1/3 0:00,18:00:00,6.3,0
2023/1/3 0:00,19:00:00,6.2,0
2023/1/3 0:00,20:00:00,6.7,0
2023/1/3 0:00,21:00:00,5.3,0
2023/1/3 0:00,22:00:00,5.5,0
2023/1/3 0:00,23:00:00,4.5,0
2023/1/4 0:00,0:00:00,4.2,0
2023/1/4 0:00,1:00:00,4.1,0
2023/1/4 0:00,2:00:00,3.7,0
2023/1/4 0:00,3:00:00,3.3,0
2023/1/4 0:00,4:00:00,2.7,0
2023/1/4 0:00,5:00:00,2.1,0
2023/1/4 0:00,6:00:00,1.6,0
2023/1/4 0:00,7:00:00,1.8,0
2023/1/4 0:00,8:00:00,3.7,0
2023/1/4 0:00,9:00:00,6.1,0
2023/1/4 0:00,10:00:00,7.5,0
2023/1/4 0:00,11:00:00,8.6,0
2023/1/4 0:00,12:00:00,9.8,0
2023/1/4 0:00,13:00:00,10.1,0
2023/1/4 0:00,14:00:00,10.4,0
2023/1/4 0:00,15:00:00,9.3,0
2023/1/4 0:00,16:00:00,7.3,0
2023/1/4 0:00,17:00:00,7.4,0
2023/1/4 0:00,18:00:00,6.9,0
2023/1/4 0:00,19:00:00,6.1,0
2023/1/4 0:00,20:00:00,5.1,0
2023/1/4 0:00,21:00:00,4,0
2023/1/4 0:00,22:00:00,4.3,0
2023/1/4 0:00,23:00:00,4.5,0
2023/1/5 0:00,0:00:00,4.3,0
2023/1/5 0:00,1:00:00,4.5,0
2023/1/5 0:00,2:00:00,4.6,0
2023/1/5 0:00,3:00:00,4.1,0
2023/1/5 0:00,4:00:00,4.4,0
2023/1/5 0:00,5:00:00,4.1,0
2023/1/5 0:00,6:00:00,3.6,0
2023/1/5 0:00,7:00:00,3.2,0
2023/1/5 0:00,8:00:00,4.2,0
2023/1/5 0:00,9:00:00,6.3,0
2023/1/5 0:00,10:00:00,7.7,0
2023/1/5 0:00,11:00:00,9,0
2023/1/5 0:00,12:00:00,9.6,0
2023/1/5 0:00,13:00:00,10,0
2023/1/5 0:00,14:00:00,9.8,0
2023/1/5 0:00,15:00:00,8.9,0
2023/1/5 0:00,16:00:00,8.1,0
2023/1/5 0:00,17:00:00,7.1,0
2023/1/5 0:00,18:00:00,6.5,0
2023/1/5 0:00,19:00:00,5.5,0
2023/1/5 0:00,20:00:00,4.7,0
2023/1/5 0:00,21:00:00,4.7,0
2023/1/5 0:00,22:00:00,4.8,0
2023/1/5 0:00,23:00:00,3.7,0
2023/1/6 0:00,0:00:00,3.1,0
2023/1/6 0:00,1:00:00,3.1,0
2023/1/6 0:00,2:00:00,2.2,0
2023/1/6 0:00,3:00:00,1.7,0
2023/1/6 0:00,4:00:00,0.7,0
2023/1/6 0:00,5:00:00,1.7,0
2023/1/6 0:00,6:00:00,0.9,0
2023/1/6 0:00,7:00:00,0.8,0
2023/1/6 0:00,8:00:00,2.6,0
2023/1/6 0:00,9:00:00,3.7,0
2023/1/6 0:00,10:00:00,5.4,0
2023/1/6 0:00,11:00:00,6.4,0
2023/1/6 0:00,12:00:00,8.2,0
2023/1/6 0:00,13:00:00,8.9,0
2023/1/6 0:00,14:00:00,9.6,0
2023/1/6 0:00,15:00:00,9.1,0
